year,eea_cell_code,speciesKey,n,min_coord_uncertainty
1907,1kmE6156N2680,8550501,1,1000
1907,1kmE6186N2781,7492557,1,1000
1907,1kmE6186N2781,8338716,1,1000
1907,1kmE6211N2725,7873123,1,1000
1907,1kmE6215N2700,4458913,1,1000
1908,1kmE4789N3258,4458681,1,1000
1908,1kmE5216N3201,1096921,1,1000
1908,1kmE5216N3201,1134093,3,1000
1908,1kmE5216N3201,4431813,1,1000
1908,1kmE5216N3201,4458867,1,1000
1908,1kmE5216N3201,4459546,1,1000
1908,1kmE5216N3202,1134093,1,1000
1908,1kmE5216N3202,8423878,2,1000
1908,1kmE5216N3202,8610451,1,1000
1908,1kmE5216N3203,8583922,1,1000
1908,1kmE5217N3201,1134093,3,1000
1908,1kmE5217N3201,4458867,1,1000
1908,1kmE5217N3201,6269529,1,1000
1908,1kmE5217N3202,1134093,1,1000
1908,1kmE5217N3202,7878882,1,1000
1908,1kmE5432N2914,7972201,1,1000
1908,1kmE6026N3619,4432743,1,1000
1908,1kmE6027N3619,4432743,1,1000
1908,1kmE6173N2675,5002115,1,1000
1909,1kmE5216N3201,4431645,1,1000
1909,1kmE5216N3202,4431541,1,1000
1909,1kmE5216N3202,4458916,1,1000
1909,1kmE5217N3202,4431645,1,1000
1909,1kmE5217N3202,8544630,1,1000
1909,1kmE5587N3743,8062758,1,1000
1909,1kmE5587N3743,8411684,2,1000
1909,1kmE5588N3743,8062758,1,1000
1909,1kmE5588N3743,8411684,1,1000
1909,1kmE5588N3744,8062758,2,1000
1909,1kmE6258N3326,7659055,1,1000
1909,1kmE6258N3326,8062927,1,1000
1909,1kmE6258N3326,8111934,1,1000
1909,1kmE6259N3326,6097810,1,1000
1909,1kmE6449N3103,7576840,1,1000
1910,1kmE3906N2329,1148809,1,1000
1910,1kmE4970N3207,5001643,1,1000
1910,1kmE5056N3024,7704804,1,1000
1910,1kmE5216N3201,1148812,1,1000
1910,1kmE5216N3201,8571136,1,1000
1910,1kmE5216N3202,4432612,2,1000
1910,1kmE5216N3202,4459313,1,1000
1910,1kmE5216N3203,4432634,1,1000
1910,1kmE5217N3201,1148812,1,1000
1910,1kmE5217N3202,1134093,1,1000
1910,1kmE5217N3202,4432599,1,1000
1910,1kmE5217N3202,4459313,1,1000
1910,1kmE5512N3611,7878882,1,1000
1911,1kmE4813N3270,1077829,1,1000
1911,1kmE4813N3270,4435406,1,1000
1911,1kmE4813N3270,4444275,1,1000
1911,1kmE4813N3270,4448486,1,1000
1911,1kmE4813N3270,4448510,1,1000
1911,1kmE4813N3270,4450913,2,1000
1911,1kmE4813N3270,4990251,1,1000
1911,1kmE4813N3270,6546084,1,1000
1911,1kmE4813N3271,4438423,2,1000
1911,1kmE4813N3271,4450913,1,1000
1911,1kmE4813N3271,6097319,2,1000
1911,1kmE4813N3271,6546084,1,1000
1911,1kmE4813N3271,7898473,1,1000
1911,1kmE4814N3270,1036789,1,1000
1911,1kmE4814N3270,4438423,1,1000
1911,1kmE4814N3270,4444275,1,1000
1911,1kmE4814N3270,4445042,3,1000
1911,1kmE4814N3270,4448510,1,1000
1911,1kmE4814N3270,6546084,1,1000
1911,1kmE4814N3270,7825487,1,1000
1911,1kmE4814N3271,1095795,2,1000
1911,1kmE4814N3271,4438423,2,1000
1911,1kmE4814N3271,4445042,2,1000
1911,1kmE4814N3271,4448400,1,1000
1911,1kmE4814N3271,4448454,2,1000
1911,1kmE4814N3271,4448486,3,1000
1911,1kmE4814N3271,4450913,1,1000
1911,1kmE4814N3271,4451823,1,1000
1911,1kmE4814N3271,4990251,1,1000
1911,1kmE4814N3271,5745581,1,1000
1911,1kmE4815N3270,4445042,1,1000
1911,1kmE5056N3022,7878882,1,1000
1911,1kmE5056N3023,1142906,1,1000
1911,1kmE5056N3023,7704804,1,1000
1911,1kmE5056N3023,7878882,2,1000
1911,1kmE5056N3024,8796936,1,1000
1911,1kmE5057N3022,8796936,1,1000
1911,1kmE5074N3305,4525803,1,1000
1911,1kmE5216N3201,4431645,1,1000
1911,1kmE5216N3201,4432673,1,1000
1911,1kmE5216N3201,4458916,1,1000
1911,1kmE5216N3202,4458916,1,1000
1911,1kmE5217N3201,1126209,1,1000
1911,1kmE5217N3201,4431529,1,1000
1911,1kmE5217N3201,4458797,1,1000
1911,1kmE5217N3201,4458916,1,1000
1911,1kmE5217N3201,8961343,1,1000
1911,1kmE5217N3202,1096921,1,1000
1911,1kmE5217N3202,4458870,1,1000
1911,1kmE5217N3202,8138668,2,1000
1911,1kmE5323N3065,6268427,1,1000
1911,1kmE6134N4069,10595482,1,1000
1911,1kmE6134N4070,1129494,1,1000
1911,1kmE6134N4071,6268427,1,1000
1911,1kmE6135N4071,7659055,1,1000
1911,1kmE6447N3103,7933619,1,1000
1911,1kmE6525N3139,7878882,1,1000
1911,1kmE6526N3139,7878882,1,1000
1911,1kmE6576N3221,7887483,2,1000
1911,1kmE6987N4107,7704804,2,1000
1912,1kmE4813N3270,1035185,5,1000
1912,1kmE4813N3270,1035231,1,1000
1912,1kmE4813N3270,1035290,1,1000
1912,1kmE4813N3270,1036216,1,1000
1912,1kmE4813N3270,1036917,1,1000
1912,1kmE4813N3270,1038064,1,1000
1912,1kmE4813N3270,1038996,1,1000
1912,1kmE4813N3270,1039006,1,1000
1912,1kmE4813N3270,1043097,2,1000
1912,1kmE4813N3270,1043318,2,1000
1912,1kmE4813N3270,1071240,3,1000
