kingdom	kingdomkey	phylum	phylumkey	class	classkey	order	orderkey	family	familykey	genus	genuskey	species	specieskey	year	eeacellcode	kingdomcount	phylumcount	classcount	ordercount	familycount	genuscount	occurrences	mintemporaluncertainty	mincoordinateuncertaintyinmeters
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Lembophyllaceae	8738	Isothecium	8175646	Isothecium alopecuroides	2679735	2016	1kmE5090N2260	1	1	1	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Thuidiaceae	4659	Abietinella	8179085	Abietinella abietina	5283402	2025	1kmE5105N2217	2	2	1	1	1	1	1	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Hypnales	617	Thuidiaceae	4659	Abietinella	8179085	Abietinella abietina	5283402	2024	1kmE5129N2208	1	1	1	1	1	1	1	1	4.0
Plantae	6	Bryophyta	35	Bryopsida	327	Bryales	1333	Mniaceae	8742	Plagiomnium	8279158	Plagiomnium undulatum	7863767	2024	1kmE5046N2174	3	3	3	2	2	2	2	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Bryales	1333	Mniaceae	8742	Plagiomnium	8279158	Plagiomnium undulatum	7863767	2021	1kmE5055N2171	1	1	1	1	1	1	1	1	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Bryales	1333	Mniaceae	8742	Plagiomnium	8279158	Plagiomnium rostratum	7518232	2016	1kmE5060N2271	4	4	3	1	1	1	1	86400	1000.0
Plantae	6	Bryophyta	35	Bryopsida	327	Bryales	1333	Mniaceae	8742	Plagiomnium	8279158	Plagiomnium undulatum	7863767	2023	1kmE5078N2150	3	3	3	2	2	2	2	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Bryales	1333	Mniaceae	8742	Plagiomnium	8279158	Plagiomnium undulatum	7863767	2024	1kmE5081N2149	1	1	1	1	1	1	1	60	2.0
Plantae	6	Bryophyta	35	Bryopsida	327	Bryales	1333	Mniaceae	8742	Plagiomnium	8279158	Plagiomnium undulatum	7863767	2023	1kmE5082N2153	4	4	4	2	2	2	2	60	4.0
Plantae	6	Bryophyta	35	Bryopsida	327	Bryales	1333	Mniaceae	8742	Plagiomnium	8279158	Plagiomnium undulatum	7863767	2024	1kmE5083N2146	6	6	6	4	4	4	4	60	2.0
