speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
2440709,"Balaenoptera borealis Lesson, 1828",SPECIES,ACCEPTED,Animalia,"2440709: Balaenoptera borealis Lesson, 1828"
2440714,"Balaenoptera edeni Anderson, 1879",SPECIES,ACCEPTED,Animalia,"2440714: Balaenoptera edeni Anderson, 1879"
2440718,"Balaenoptera physalus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"2440718: Balaenoptera physalus (Linnaeus, 1758)"
2440728,"Balaenoptera acutorostrata Lacépède, 1804",SPECIES,ACCEPTED,Animalia,"2440728: Balaenoptera acutorostrata Lacépède, 1804"
2440735,"Balaenoptera musculus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"2440735: Balaenoptera musculus (Linnaeus, 1758)"
2440886,"Equus caballus Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"2440886: Equus caballus Linnaeus, 1758 | 7262085: Equus caballus caballus | 9117798: Equus ferus caballus Linnaeus, 1758"
2440891,"Equus asinus Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"2440891: Equus asinus Linnaeus, 1758"
2440940,"Alces alces (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"2440940: Alces alces (Linnaeus, 1758) | 7261378: Alces alces alces"
2440946,"Muntiacus reevesi (Ogilby, 1839)",SPECIES,ACCEPTED,Animalia,"2440946: Muntiacus reevesi (Ogilby, 1839)"
2440954,"Cervus nippon Temminck, 1838",SPECIES,ACCEPTED,Animalia,"2440954: Cervus nippon Temminck, 1838"
2440958,"Cervus elaphus Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"2440958: Cervus elaphus Linnaeus, 1758 | 7059491: Cervus elaphus elaphus | 9995197: BOLD:AAC6598"
2441022,"Bos taurus Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"2441022: Bos taurus Linnaeus, 1758 | 2441024: Bos primigenius Bojanus, 1827"
2441056,"Capra hircus Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"2441056: Capra hircus Linnaeus, 1758"
2441110,"Ovis aries Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"2441110: Ovis aries Linnaeus, 1758 | 4262544: Ovis aries aries | 6165157: Ovis aries musimon (Pallas, 1811)"
2441122,"Ovis ammon (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"2441122: Ovis ammon (Linnaeus, 1758)"
2441184,"Bison bonasus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"2441184: Bison bonasus (Linnaeus, 1758)"
4264680,"Myocastor coypus (Molina, 1782)",SPECIES,ACCEPTED,Animalia,"4264680: Myocastor coypus (Molina, 1782)"
4265185,"Arvicola amphibius (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"2438491: Arvicola terrestris (Linnaeus, 1758) | 4265185: Arvicola amphibius (Linnaeus, 1758)"
4409131,"Castor fiber Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"4409131: Castor fiber Linnaeus, 1758"
4409270,"Equus ferus Boddaert, 1785",SPECIES,ACCEPTED,Animalia,"4409270: Equus ferus Boddaert, 1785"
4825833,"Mammuthus primigenius (Blumenbach, 1799)",SPECIES,ACCEPTED,Animalia,"4825833: Mammuthus primigenius (Blumenbach, 1799)"
4827584,"Homo neanderthalensis King, 1864",SPECIES,ACCEPTED,Animalia,10549716: BOLD:AAA0001
4970936,"Isocetus depauwii (Van Beneden & Gervais, 1868)",SPECIES,ACCEPTED,Animalia,"4970936: Isocetus depauwii (Van Beneden & Gervais, 1868)"
4971239,"Graamocetus longicollis Hoch, 2004",SPECIES,ACCEPTED,Animalia,"4971239: Graamocetus longicollis Hoch, 2004"
5218465,"Pipistrellus pipistrellus (Schreber, 1774)",SPECIES,ACCEPTED,Animalia,"5218465: Pipistrellus pipistrellus (Schreber, 1774)"
5218471,"Pipistrellus nathusii (Keyserling & Blasius, 1839)",SPECIES,ACCEPTED,Animalia,"5218471: Pipistrellus nathusii (Keyserling & Blasius, 1839)"
5218507,"Plecotus auritus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5218507: Plecotus auritus (Linnaeus, 1758)"
5218522,"Nyctalus leisleri (Kuhl, 1817)",SPECIES,ACCEPTED,Animalia,"5218522: Nyctalus leisleri (Kuhl, 1817)"
5218524,"Nyctalus noctula (Schreber, 1774)",SPECIES,ACCEPTED,Animalia,"5218524: Nyctalus noctula (Schreber, 1774)"
5218786,"Procyon lotor (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5218786: Procyon lotor (Linnaeus, 1758)"
5218819,"Odobenus rosmarus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5218819: Odobenus rosmarus (Linnaeus, 1758) | 7193894: Odobenus rosmarus rosmarus | 9483864: Odobaenus rosmarus (Linnaeus, 1758)"
5218823,"Mustela vison Schreber, 1777",SPECIES,ACCEPTED,Animalia,"2433652: Neovison vison (Schreber, 1777) | 5218823: Mustela vison Schreber, 1777"
5218878,"Martes martes (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5218878: Martes martes (Linnaeus, 1758)"
5218887,"Martes foina (Erxleben, 1777)",SPECIES,ACCEPTED,Animalia,"5218887: Martes foina (Erxleben, 1777)"
