speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
1035931,"Bembidion tetracolum Say, 1823",SPECIES,ACCEPTED,Animalia,"1035931: Bembidion tetracolum Say, 1823 | 8638132: Bembidion ustulatum"
1036066,"Bembidion semipunctatum (Donovan, 1806)",SPECIES,ACCEPTED,Animalia,"7698760: Bembidion adustum Schaum, 1860"
1036128,"Bembidion quadrimaculatum (Linnaeus, 1760)",SPECIES,ACCEPTED,Animalia,"1036128: Bembidion quadrimaculatum (Linnaeus, 1760) | 11409812: Bembidion quadriguttatum (Fabricius, 1775)"
1036154,"Bembidion guttula (Fabricius, 1792)",SPECIES,ACCEPTED,Animalia,"1036154: Bembidion guttula (Fabricius, 1792)"
1036203,"Bembidion properans (Stephens, 1828)",SPECIES,ACCEPTED,Animalia,"1036203: Bembidion properans (Stephens, 1828)"
1036216,"Bembidion lampros (Herbst, 1784)",SPECIES,ACCEPTED,Animalia,"1036216: Bembidion lampros (Herbst, 1784)"
1036255,"Bembidion bruxellense Wesmael, 1835",SPECIES,ACCEPTED,Animalia,"7935635: Bembidion rupestre (Linnaeus, 1767)"
1036789,"Carabus granulatus Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"1036789: Carabus granulatus Linnaeus, 1758"
1036893,"Clivina fossor (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1036893: Clivina fossor (Linnaeus, 1758)"
1036899,"Clivina collaris (Herbst, 1784)",SPECIES,ACCEPTED,Animalia,"1036899: Clivina collaris (Herbst, 1784)"
1036917,"Anisodactylus binotatus (Fabricius, 1787)",SPECIES,ACCEPTED,Animalia,"1036917: Anisodactylus binotatus (Fabricius, 1787) | 4475003: Anisodactylus spurcaticornis Dejean, 1829"
1037293,"Trechus rubens (Fabricius, 1792)",SPECIES,ACCEPTED,Animalia,"1037293: Trechus rubens (Fabricius, 1792) | 4476746: Trechus palpalis (Duftschmid, 1812)"
1037897,"Nebrioporus depressus (Fabricius, 1775)",SPECIES,ACCEPTED,Animalia,"10278667: Deronectes depressus (Fabricius, 1775)"
1037908,"Graphoderus cinereus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"9880888: Graphoderes cinereus (Linnaeus, 1758)"
1037937,"Agabus fuscipennis (Paykull, 1798)",SPECIES,ACCEPTED,Animalia,"1037937: Agabus fuscipennis (Paykull, 1798)"
1037974,"Agabus undulatus (Schrank, 1776)",SPECIES,ACCEPTED,Animalia,"1037974: Agabus undulatus (Schrank, 1776)"
1037986,"Agabus congener (Thunberg, 1794)",SPECIES,ACCEPTED,Animalia,"1037986: Agabus congener (Thunberg, 1794)"
1038003,"Agabus clypealis (Thomson, 1867)",SPECIES,ACCEPTED,Animalia,"1038003: Agabus clypealis (Thomson, 1867)"
1038059,"Dytiscus circumcinctus Ahrens, 1811",SPECIES,ACCEPTED,Animalia,"1038059: Dytiscus circumcinctus Ahrens, 1811"
1038064,"Dytiscus marginalis Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"1038064: Dytiscus marginalis Linnaeus, 1758"
1038153,"Bidessus unistriatus (Schrank, 1781)",SPECIES,ACCEPTED,Animalia,"11283976: Bidessus unistriatus (Goeze, 1777)"
1038207,"Hydroporus striola (Gyllenhal, 1826)",SPECIES,ACCEPTED,Animalia,"1038207: Hydroporus striola (Gyllenhal, 1826)"
1038219,"Hydroporus tristis (Paykull, 1798)",SPECIES,ACCEPTED,Animalia,"1038219: Hydroporus tristis (Paykull, 1798)"
1038248,"Hydroporus obscurus Sturm, 1835",SPECIES,ACCEPTED,Animalia,"1038248: Hydroporus obscurus Sturm, 1835"
1038313,"Laccophilus minutus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1038313: Laccophilus minutus (Linnaeus, 1758) | 7358380: Laccophilus obscurus (Panzer, 1795)"
1038574,"Hygrotus impressopunctatus (Schaller, 1783)",SPECIES,ACCEPTED,Animalia,"1038574: Hygrotus impressopunctatus (Schaller, 1783) | 6097305: Coelambus impressopunctatus (Schaller, 1783)"
1038776,"Ilybius ater (De Geer, 1774)",SPECIES,ACCEPTED,Animalia,"1038776: Ilybius ater (De Geer, 1774)"
1038778,"Ilybius fuliginosus (Fabricius, 1792)",SPECIES,ACCEPTED,Animalia,"1038778: Ilybius fuliginosus (Fabricius, 1792)"
1038781,"Ilybius fenestratus (Fabricius, 1781)",SPECIES,ACCEPTED,Animalia,"1038781: Ilybius fenestratus (Fabricius, 1781)"
1038798,"Ilybius subaeneus Erichson, 1837",SPECIES,ACCEPTED,Animalia,"1038798: Ilybius subaeneus Erichson, 1837"
1038978,"Nicrophorus sepultor (T.Charpentier, 1825)",SPECIES,ACCEPTED,Animalia,"1038978: Nicrophorus sepultor (T.Charpentier, 1825)"
1038994,"Nicrophorus vestigator (Herschel, 1807)",SPECIES,ACCEPTED,Animalia,"1038994: Nicrophorus vestigator (Herschel, 1807)"
1038996,"Nicrophorus investigator (Zetterstedt, 1824)",SPECIES,ACCEPTED,Animalia,"1038996: Nicrophorus investigator (Zetterstedt, 1824)"
1039003,"Nicrophorus humator (Gleditsch, 1767)",SPECIES,ACCEPTED,Animalia,"1039003: Nicrophorus humator (Gleditsch, 1767) | 6097307: Necrophorus humator (Gleditsch, 1767)"
1039006,"Nicrophorus vespilloides Herbst, 1783",SPECIES,ACCEPTED,Animalia,"1039006: Nicrophorus vespilloides Herbst, 1783 | 6097308: Necrophorus vespilloides Herbst, 1783"
1039017,"Nicrophorus vespillo (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1039017: Nicrophorus vespillo (Linnaeus, 1758)"
1039019,"Nicrophorus interruptus (Stephens, 1830)",SPECIES,ACCEPTED,Animalia,"1039019: Nicrophorus interruptus (Stephens, 1830)"
1039254,"Creophilus maxillosus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1039254: Creophilus maxillosus (Linnaeus, 1758)"
1039462,"Anotylus nitidulus (Gravenhorst, 1802)",SPECIES,ACCEPTED,Animalia,"4440504: Oxytelus nitidulus Gravenhorst, 1802"
1039463,"Anotylus rugosus (Fabricius, 1775)",SPECIES,ACCEPTED,Animalia,"9296590: Oxytelus rugosus (Fabricius, 1775)"
1039464,"Anotylus tetracarinatus (Block, 1799)",SPECIES,ACCEPTED,Animalia,"9472181: Oxytelus tetracarinatus (Block, 1799)"
1039475,"Anotylus insecatus (Gravenhorst, 1806)",SPECIES,ACCEPTED,Animalia,"1039475: Anotylus insecatus (Gravenhorst, 1806) | 4440470: Oxytelus insecatus Gravenhorst, 1806"
